 Report Section , Region , PT Mode , Measures , 2010/11 , 2011/12 , 2012/13 , 2013/14 , 2014/15 , 2015/16 , 2016/17 , 2017/18 , 2018/19 , 2019/20 , 2020/21 , 2021/22 , 2022/23 , 2023/24 , 2024/25 
 Regional , Canterbury , Bus , Boardings ," 13,109,822 "," 11,352,649 "," 13,417,358 "," 14,174,013 "," 14,219,679 "," 13,737,967 "," 13,249,574 "," 13,621,278 "," 13,715,126 "," 11,035,588 "," 10,313,062 "," 8,832,320 "," 11,667,358 "," 14,573,493 "," 15,220,103 "
 Regional , Canterbury , Bus , Boardings SuperGold ," 1,287,783 "," 1,163,030 "," 1,277,651 "," 1,344,205 "," 1,366,788 "," 1,365,649 "," 1,387,216 "," 1,453,175 "," 1,561,453 "," 1,186,002 "," 1,301,479 "," 1,113,854 "," 1,407,268 "," 1,406,863 "," 1,456,489 "
 Regional , Canterbury , Bus , Fares ," 17,998,780 "," 13,470,415 "," 15,780,886 "," 16,437,967 "," 18,731,244 "," 21,364,693 "," 20,506,470 "," 18,286,609 "," 18,975,314 "," 14,191,708 "," 13,411,796 "," 10,225,452 "," 8,249,456 "," 12,084,091 "," 12,591,854 "
 Regional , Canterbury , Bus , Fleet Size , 321 , 280 , 263 , 244 , 241 , 240 , 254 , 254 , 254 , 254 , 240 , 245 , 276 , 305 , 310 
 Regional , Canterbury , Bus , Passenger kilometres ," 111,433,488 "," 96,497,517 "," 114,047,543 "," 120,479,110 "," 120,867,272 "," 116,772,720 "," 112,621,379 "," 115,938,408 ",,,,,," 122,885,078 "," 128,695,277 "
 Regional , Canterbury , Bus , Service kilometres ," 20,392,554 "," 18,373,496 "," 16,794,358 "," 17,479,590 "," 17,264,677 "," 15,941,822 "," 16,043,222 "," 16,453,197 "," 15,904,210 "," 15,947,696 "," 16,812,550 "," 16,258,187 "," 16,859,222 "," 15,798,077 "," 16,225,778 "
 Regional , Canterbury , Bus , SuperGold Fare Substitute ," 2,551,326 "," 2,133,997 "," 2,346,406 "," 2,648,429 "," 2,751,623 "," 2,751,922 "," 3,172,874 "," 2,955,556 "," 2,999,553 "," 3,350,567 "," 3,074,098 "," 3,082,141 "," 3,291,248 "," 3,702,526 "," 4,002,770 "
 Regional , Canterbury , Ferry , Boardings ," 122,393 "," 79,818 "," 112,480 "," 130,466 "," 124,416 "," 121,107 "," 113,002 "," 129,102 "," 151,094 "," 126,641 "," 132,938 "," 114,190 "," 135,176 "," 155,203 "," 174,998 "
 Regional , Canterbury , Ferry , Boardings SuperGold ," 9,489 "," 12,163 "," 18,372 "," 18,927 "," 19,301 "," 18,199 "," 17,508 "," 20,045 "," 26,996 "," 20,102 "," 25,140 "," 20,612 "," 26,553 "," 23,910 "," 26,585 "
 Regional , Canterbury , Ferry , Fares ," 258,909 "," 189,231 "," 272,064 "," 327,178 "," 344,370 "," 395,006 "," 385,268 "," 376,427 "," 405,168 "," 308,805 "," 352,882 "," 276,749 "," 201,832 "," 385,850 "," 442,317 "
 Regional , Canterbury , Ferry , Fleet Size , 2 , 2 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 2 
 Regional , Canterbury , Ferry , Passenger kilometres ," 282,447 "," 239,454 "," 337,440 "," 391,398 "," 373,248 "," 363,321 "," 339,006 "," 387,306 ",,,,," 378,171 "," 465,609 "," 524,994 "
 Regional , Canterbury , Ferry , Service kilometres ," 47,481 "," 47,476 "," 47,482 "," 47,268 "," 47,223 "," 47,466 "," 47,466 "," 47,666 "," 47,666 "," 47,466 "," 45,977 "," 45,974 "," 45,974 "," 38,849 "," 41,172 "
 Regional , Canterbury , Ferry , SuperGold Fare Substitute ," 30,468 "," 38,499 "," 58,151 "," 65,062 "," 67,637 "," 63,776 "," 64,323 "," 59,917 "," 66,201 "," 78,844 "," 73,269 "," 66,592 "," 69,999 "," 77,759 "," 82,586 "
 Regional , Gisborne , Bus , Boardings ," 152,258 "," 157,596 "," 157,008 "," 139,473 "," 138,261 "," 146,129 "," 142,373 "," 142,082 "," 133,426 "," 100,054 "," 121,487 "," 116,408 "," 123,343 "," 123,934 "," 130,194 "
 Regional , Gisborne , Bus , Boardings SuperGold ," 17,084 "," 16,751 "," 17,325 "," 12,532 "," 12,328 "," 13,166 "," 12,228 "," 13,694 "," 12,962 "," 13,088 "," 13,156 "," 10,452 "," 11,306 "," 13,799 "," 12,796 "
 Regional , Gisborne , Bus , Fares ," 187,226 "," 194,766 "," 196,872 "," 168,140 "," 164,190 "," 116,160 "," 159,593 "," 146,018 "," 143,684 "," 115,680 "," 119,516 "," 93,477 "," 68,745 "," 99,959 "," 138,234 "
 Regional , Gisborne , Bus , Fleet Size , 11 , 11 , 11 , 11 , 11 , 12 , 12 , 12 , 12 , 12 , 12 , 12 , 12 , 12 , 13 
 Regional , Gisborne , Bus , Passenger kilometres ," 913,548 "," 945,576 "," 942,048 "," 836,838 "," 829,566 "," 1,065,440 "," 869,578 "," 870,020 "," 875,573 "," 602,283 "," 1,348,159 "," 1,055,145 "," 1,163,212 "," 1,561,626 "," 1,645,110 "
 Regional , Gisborne , Bus , Service kilometres ," 127,481 "," 129,552 "," 129,552 "," 103,512 "," 103,512 "," 107,652 "," 112,526 "," 113,217 "," 115,995 "," 173,558 "," 173,558 "," 188,481 "," 245,345 "," 126,840 "," 133,866 "
 Regional , Gisborne , Bus , SuperGold Fare Substitute ," 20,658 "," 18,936 "," 19,585 "," 14,167 "," 13,936 "," 14,883 "," 13,823 "," 15,480 "," 15,647 "," 13,955 "," 13,089 "," 13,095 "," 34,022 "," 31,702 "," 30,493 "
 Regional , Hawkes Bay , Bus , Boardings ," 554,647 "," 681,566 "," 761,392 "," 799,845 "," 744,381 "," 694,557 "," 688,151 "," 666,127 "," 645,297 "," 511,667 "," 602,341 "," 438,178 "," 405,561 "," 490,816 "," 567,843 "
 Regional , Hawkes Bay , Bus , Boardings SuperGold ," 80,727 "," 101,898 "," 118,531 "," 125,649 "," 115,753 "," 118,838 "," 117,419 "," 119,088 "," 115,356 "," 84,960 "," 92,709 "," 65,356 "," 52,638 "," 55,207 "," 64,221 "
 Regional , Hawkes Bay , Bus , Fares ," 822,592 "," 979,472 "," 1,127,073 "," 1,266,096 "," 1,189,593 "," 1,109,845 "," 1,085,169 "," 1,026,323 "," 1,009,103 "," 680,131 "," 518,894 "," 395,724 "," 252,616 "," 525,955 "," 769,210 "
 Regional , Hawkes Bay , Bus , Fleet Size , 20 , 26 , 28 , 26 , 24 , 22 , 23 , 25 , 24 , 24 , 25 , 25 , 25 , 25 , 26 
 Regional , Hawkes Bay , Bus , Passenger kilometres ," 3,882,529 "," 4,770,892 "," 5,558,531 "," 5,838,868 "," 7,555,620 "," 7,161,305 "," 7,335,951 "," 7,047,233 "," 6,949,061 "," 5,413,623 "," 5,487,018 "," 4,789,741 "," 3,955,092 "," 5,058,481 "," 5,473,108 "
 Regional , Hawkes Bay , Bus , Service kilometres ," 794,660 "," 1,036,045 "," 1,146,751 "," 1,200,851 "," 932,537 "," 962,107 "," 1,021,868 "," 1,022,000 "," 1,023,500 "," 1,000,111 "," 5,162,954 "," 5,162,954 "," 5,161,058 "," 919,999 "," 1,050,302 "
 Regional , Hawkes Bay , Bus , SuperGold Fare Substitute ," 173,089 "," 210,796 "," 245,205 "," 259,930 "," 239,458 "," 245,840 "," 242,904 "," 246,357 "," 248,796 "," 236,051 "," 236,330 "," 236,433 "," 251,976 "," 164,723 "," 285,117 "
 Regional , Manawatu-Whanganui , Bus , Boardings ," 1,599,934 "," 1,635,096 "," 1,620,202 "," 1,577,158 "," 1,447,403 "," 1,356,938 "," 1,301,374 "," 1,390,386 "," 1,335,248 "," 993,364 "," 864,522 "," 607,897 "," 838,802 "," 1,078,318 "," 1,402,349 "
 Regional , Manawatu-Whanganui , Bus , Boardings SuperGold ," 90,333 "," 95,649 "," 100,064 "," 102,614 "," 99,231 "," 98,341 "," 100,947 "," 110,753 "," 118,069 "," 83,585 "," 86,870 "," 75,730 "," 89,213 "," 104,474 "," 133,659 "
 Regional , Manawatu-Whanganui , Bus , Fares ," 1,079,544 "," 1,144,606 "," 1,292,679 "," 1,382,208 "," 1,249,700 "," 1,170,942 "," 986,528 "," 1,098,247 "," 1,091,921 "," 700,259 "," 664,680 "," 582,802 "," 738,195 "," 639,146 "," 953,934 "
 Regional , Manawatu-Whanganui , Bus , Fleet Size , 46 , 48 , 52 , 52 , 50 , 52 , 48 , 46 , 45 , 42 , 46 , 44 , 50 , 72 , 73 
 Regional , Manawatu-Whanganui , Bus , Passenger kilometres ," 16,371,395 "," 16,621,807 "," 16,638,914 "," 16,417,477 "," 16,161,786 "," 14,107,670 "," 12,681,922 "," 13,127,422 "," 13,369,334 "," 9,640,769 "," 8,914,763 "," 6,807,273 "," 9,081,991 "," 11,682,623 "," 13,965,194 "
